x,y,z
0,0,0
1,0.015,0.05
2,0.03,0.1
3,0.045,0.15
4,0.06,0.2
5,0.075,0.25
0,0,1
1,0.015,0.95
2,0.03,0.9
3,0.045,0.85
4,0.06,0.8
5,0.075,0.75
0,0.3,0
1,0.285,0.05
2,0.27,0.1
3,0.255,0.15
4,0.24,0.2
5,0.225,0.25
0,0.3,1
1,0.285,0.95
2,0.27,0.9
3,0.255,0.85
4,0.24,0.8
5,0.225,0.75
