x,y,z
0,0,0
1.25,0,0
2.5,0,0
3.75,0,0
5,0,0
0,0,1
1.25,0,1
2.5,0,1
3.75,0,1
5,0,1
0,0.3,0
1.25,0.3,0
2.5,0.3,0
3.75,0.3,0
5,0.3,0
0,0.3,1
1.25,0.3,1
2.5,0.3,1
3.75,0.3,1
5,0.3,1
